Visitor,Home,Winner
Sacramento Kings,Detroit Pistons,Sacramento Kings
New Orleans Pelicans,Washington Wizards,Washington Wizards
Orlando Magic,Atlanta Hawks,Atlanta Hawks
Indiana Pacers,New York Knicks,New York Knicks
Denver Nuggets,Dallas Mavericks,Dallas Mavericks
Houston Rockets,Memphis Grizzlies,Memphis Grizzlies
Phoenix Suns,Minnesota Timberwolves,Phoenix Suns
Miami Heat,Oklahoma City Thunder,Miami Heat
Toronto Raptors,Portland Trail Blazers,Portland Trail Blazers
Chicago Bulls,Los Angeles Lakers,Chicago Bulls
Golden State Warriors,Brooklyn Nets,Golden State Warriors
Philadelphia 76ers,Utah Jazz,Utah Jazz
San Antonio Spurs,Los Angeles Clippers,Los Angeles Clippers
Washington Wizards,Charlotte Hornets,Charlotte Hornets
Indiana Pacers,Detroit Pistons,Detroit Pistons
Boston Celtics,Atlanta Hawks,Atlanta Hawks
Cleveland Cavaliers,Brooklyn Nets,Brooklyn Nets
New Orleans Pelicans,Miami Heat,Miami Heat
Los Angeles Lakers,Milwaukee Bucks,Milwaukee Bucks
Orlando Magic,New York Knicks,Orlando Magic
Sacramento Kings,Minnesota Timberwolves,Minnesota Timberwolves
Houston Rockets,Oklahoma City Thunder,Oklahoma City Thunder
Dallas Mavericks,Phoenix Suns,Phoenix Suns
Chicago Bulls,Portland Trail Blazers,Portland Trail Blazers
Golden State Warriors,Cleveland Cavaliers,Golden State Warriors
Washington Wizards,Miami Heat,Miami Heat
Los Angeles Clippers,Memphis Grizzlies,Memphis Grizzlies
San Antonio Spurs,Minnesota Timberwolves,Minnesota Timberwolves
Philadelphia 76ers,Denver Nuggets,Philadelphia 76ers
Toronto Raptors,Utah Jazz,Utah Jazz
Indiana Pacers,Charlotte Hornets,Charlotte Hornets
Golden State Warriors,Detroit Pistons,Golden State Warriors
Los Angeles Lakers,Boston Celtics,Boston Celtics
Orlando Magic,Brooklyn Nets,Brooklyn Nets
Oklahoma City Thunder,Milwaukee Bucks,Milwaukee Bucks
Los Angeles Clippers,New Orleans Pelicans,New Orleans Pelicans
Chicago Bulls,Denver Nuggets,Chicago Bulls
Dallas Mavericks,Phoenix Suns,Phoenix Suns
Toronto Raptors,Sacramento Kings,Toronto Raptors
Houston Rockets,New York Knicks,New York Knicks
New Orleans Pelicans,Indiana Pacers,Indiana Pacers
Miami Heat,Washington Wizards,Washington Wizards
